,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
110,Bulgaria,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
111,Bulgaria,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
112,Bahrain,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
113,Bahrain,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
114,Bahrain,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
115,Bahrain,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
116,Bahrain,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
117,Bahrain,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
118,Bahrain,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
119,Bahamas,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
120,Bahamas,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
121,Bahamas,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
122,Bahamas,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
123,Bahamas,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
124,Bahamas,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
125,Bahamas,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
126,Bosnia and Herzegovina,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
127,Bosnia and Herzegovina,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
128,Bosnia and Herzegovina,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
129,Bosnia and Herzegovina,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
130,Bosnia and Herzegovina,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
131,Bosnia and Herzegovina,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
132,Bosnia and Herzegovina,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
133,Belarus,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
134,Belarus,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
135,Belarus,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
136,Belarus,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
137,Belarus,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
138,Belarus,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
139,Belarus,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
140,Belize,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
141,Belize,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
142,Belize,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
143,Belize,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
144,Belize,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
145,Belize,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
146,Belize,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
147,Bermuda,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
148,Bermuda,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
149,Bermuda,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
150,Bermuda,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
151,Bermuda,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
152,Bermuda,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
153,Bermuda,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
154,Bolivia,,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
155,Bolivia,,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
156,Bolivia,,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
157,Bolivia,,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
158,Bolivia,,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
159,Bolivia,,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
160,Bolivia,,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
161,Brazil,Acre,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
162,Brazil,Acre,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
163,Brazil,Acre,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
164,Brazil,Acre,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
165,Brazil,Acre,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
166,Brazil,Acre,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
167,Brazil,Acre,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
168,Brazil,Alagoas,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
169,Brazil,Alagoas,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
170,Brazil,Alagoas,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
171,Brazil,Alagoas,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
172,Brazil,Alagoas,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
173,Brazil,Alagoas,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
174,Brazil,Alagoas,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
175,Brazil,Amazonas,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
176,Brazil,Amazonas,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
177,Brazil,Amazonas,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
178,Brazil,Amazonas,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
179,Brazil,Amazonas,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
180,Brazil,Amazonas,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
181,Brazil,Amazonas,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
182,Brazil,Amapa,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
183,Brazil,Amapa,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
184,Brazil,Amapa,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
185,Brazil,Amapa,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
186,Brazil,Amapa,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
187,Brazil,Amapa,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
188,Brazil,Amapa,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
189,Brazil,Bahia,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
190,Brazil,Bahia,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
191,Brazil,Bahia,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
192,Brazil,Bahia,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
193,Brazil,Bahia,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
194,Brazil,Bahia,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
195,Brazil,Bahia,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
196,Brazil,Ceara,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
197,Brazil,Ceara,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
198,Brazil,Ceara,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
199,Brazil,Ceara,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
200,Brazil,Ceara,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
201,Brazil,Ceara,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
202,Brazil,Ceara,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
203,Brazil,Distrito Federal,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
204,Brazil,Distrito Federal,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
205,Brazil,Distrito Federal,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
206,Brazil,Distrito Federal,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
207,Brazil,Distrito Federal,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
208,Brazil,Distrito Federal,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
209,Brazil,Distrito Federal,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
210,Brazil,Espirito Santo,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
211,Brazil,Espirito Santo,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
212,Brazil,Espirito Santo,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
213,Brazil,Espirito Santo,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
214,Brazil,Espirito Santo,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
215,Brazil,Espirito Santo,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
216,Brazil,Espirito Santo,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
217,Brazil,Goias,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
218,Brazil,Goias,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
219,Brazil,Goias,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
220,Brazil,Goias,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
221,Brazil,Goias,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
222,Brazil,Goias,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
223,Brazil,Goias,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
224,Brazil,Maranhao,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
225,Brazil,Maranhao,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
226,Brazil,Maranhao,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
227,Brazil,Maranhao,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
228,Brazil,Maranhao,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
229,Brazil,Maranhao,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
230,Brazil,Maranhao,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
231,Brazil,Minas Gerais,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
232,Brazil,Minas Gerais,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
233,Brazil,Minas Gerais,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
234,Brazil,Minas Gerais,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
235,Brazil,Minas Gerais,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
236,Brazil,Minas Gerais,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
237,Brazil,Minas Gerais,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
238,Brazil,Mato Grosso do Sul,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
239,Brazil,Mato Grosso do Sul,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
240,Brazil,Mato Grosso do Sul,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
241,Brazil,Mato Grosso do Sul,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
242,Brazil,Mato Grosso do Sul,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
243,Brazil,Mato Grosso do Sul,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
244,Brazil,Mato Grosso do Sul,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
245,Brazil,Mato Grosso,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
246,Brazil,Mato Grosso,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
247,Brazil,Mato Grosso,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
248,Brazil,Mato Grosso,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
249,Brazil,Mato Grosso,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
250,Brazil,Mato Grosso,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
251,Brazil,Mato Grosso,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
252,Brazil,Para,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
253,Brazil,Para,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
254,Brazil,Para,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
255,Brazil,Para,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
256,Brazil,Para,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
257,Brazil,Para,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
258,Brazil,Para,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
259,Brazil,Paraiba,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
260,Brazil,Paraiba,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
261,Brazil,Paraiba,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
262,Brazil,Paraiba,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
263,Brazil,Paraiba,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
264,Brazil,Paraiba,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
265,Brazil,Paraiba,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
266,Brazil,Pernambuco,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
267,Brazil,Pernambuco,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
268,Brazil,Pernambuco,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
269,Brazil,Pernambuco,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
270,Brazil,Pernambuco,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
271,Brazil,Pernambuco,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
272,Brazil,Pernambuco,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
273,Brazil,Piaui,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
274,Brazil,Piaui,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
275,Brazil,Piaui,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
276,Brazil,Piaui,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
277,Brazil,Piaui,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
278,Brazil,Piaui,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
279,Brazil,Piaui,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
280,Brazil,Parana,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
281,Brazil,Parana,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
282,Brazil,Parana,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
283,Brazil,Parana,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
284,Brazil,Parana,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
285,Brazil,Parana,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
286,Brazil,Parana,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
287,Brazil,Rio de Janeiro,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
288,Brazil,Rio de Janeiro,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
289,Brazil,Rio de Janeiro,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
290,Brazil,Rio de Janeiro,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
291,Brazil,Rio de Janeiro,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
292,Brazil,Rio de Janeiro,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
293,Brazil,Rio de Janeiro,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
294,Brazil,Rio Grande do Norte,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
295,Brazil,Rio Grande do Norte,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
296,Brazil,Rio Grande do Norte,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
297,Brazil,Rio Grande do Norte,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
298,Brazil,Rio Grande do Norte,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
299,Brazil,Rio Grande do Norte,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
300,Brazil,Rio Grande do Norte,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
301,Brazil,Rondonia,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
302,Brazil,Rondonia,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
303,Brazil,Rondonia,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
304,Brazil,Rondonia,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
305,Brazil,Rondonia,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
306,Brazil,Rondonia,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
307,Brazil,Rondonia,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
308,Brazil,Roraima,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
309,Brazil,Roraima,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
310,Brazil,Roraima,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
311,Brazil,Roraima,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
312,Brazil,Roraima,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
313,Brazil,Roraima,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
314,Brazil,Roraima,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
315,Brazil,Rio Grande do Sul,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
316,Brazil,Rio Grande do Sul,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
317,Brazil,Rio Grande do Sul,2021-01-03,2,2,1,2,1,2,1,2,1,2,1,2
318,Brazil,Rio Grande do Sul,2021-01-04,2,2,1,2,1,2,1,2,1,2,1,2
319,Brazil,Rio Grande do Sul,2021-01-05,2,2,1,2,1,2,1,2,1,2,1,2
320,Brazil,Rio Grande do Sul,2021-01-06,2,2,1,2,1,2,1,2,1,2,1,2
321,Brazil,Rio Grande do Sul,2021-01-07,2,2,1,2,1,2,1,2,1,2,1,2
322,Brazil,Santa Catarina,2021-01-01,2,2,1,2,1,2,1,2,1,2,1,2
323,Brazil,Santa Catarina,2021-01-02,2,2,1,2,1,2,1,2,1,2,1,2
